patient,fastq_1,fastq_2,source,read_group_platform_unit,read_group_platform,read_group_library,read_group_sample_name
9,/data/project/stemcell/shannc/CCA/Exome/D_fixed/9_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/9_B_2.fastq.gz,normal,1,ILLUMINA,D-9,9-normal
9,/data/project/stemcell/shannc/CCA/Exome/D_fixed/9_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/9_C_2.fastq.gz,tumor,1,ILLUMINA,D-9,9-tumor
12,/data/project/stemcell/shannc/CCA/Exome/D_fixed/12_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/12_B_2.fastq.gz,normal,1,ILLUMINA,D-12,12-normal
12,/data/project/stemcell/shannc/CCA/Exome/D_fixed/12_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/12_C_2.fastq.gz,tumor,1,ILLUMINA,D-12,12-tumor
13,/data/project/stemcell/shannc/CCA/Exome/D_fixed/13_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/13_B_2.fastq.gz,normal,1,ILLUMINA,D-13,13-normal
13,/data/project/stemcell/shannc/CCA/Exome/D_fixed/13_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/13_C_2.fastq.gz,tumor,1,ILLUMINA,D-13,13-tumor
15,/data/project/stemcell/shannc/CCA/Exome/D_fixed/15_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/15_B_2.fastq.gz,normal,1,ILLUMINA,D-15,15-normal
15,/data/project/stemcell/shannc/CCA/Exome/D_fixed/15_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/15_C_2.fastq.gz,tumor,1,ILLUMINA,D-15,15-tumor
16,/data/project/stemcell/shannc/CCA/Exome/D_fixed/16_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/16_B_2.fastq.gz,normal,1,ILLUMINA,D-16,16-normal
16,/data/project/stemcell/shannc/CCA/Exome/D_fixed/16_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/16_C_2.fastq.gz,tumor,1,ILLUMINA,D-16,16-tumor
18,/data/project/stemcell/shannc/CCA/Exome/D_fixed/18_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/18_B_2.fastq.gz,normal,1,ILLUMINA,D-18,18-normal
18,/data/project/stemcell/shannc/CCA/Exome/D_fixed/18_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/18_C_2.fastq.gz,tumor,1,ILLUMINA,D-18,18-tumor
19,/data/project/stemcell/shannc/CCA/Exome/D_fixed/19_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/19_B_2.fastq.gz,normal,1,ILLUMINA,D-19,19-normal
19,/data/project/stemcell/shannc/CCA/Exome/D_fixed/19_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/19_C_2.fastq.gz,tumor,1,ILLUMINA,D-19,19-tumor
20,/data/project/stemcell/shannc/CCA/Exome/D_fixed/20_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/20_B_2.fastq.gz,normal,1,ILLUMINA,D-20,20-normal
20,/data/project/stemcell/shannc/CCA/Exome/D_fixed/20_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/20_C_2.fastq.gz,tumor,1,ILLUMINA,D-20,20-tumor
N24,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N24_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N24_B_2.fastq.gz,normal,1,ILLUMINA,D-N24,N24-normal
N24,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N24_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N24_C_2.fastq.gz,tumor,1,ILLUMINA,D-N24,N24-tumor
N23,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N23_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N23_B_2.fastq.gz,normal,1,ILLUMINA,D-N23,N23-normal
N23,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N23_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N23_C_2.fastq.gz,tumor,1,ILLUMINA,D-N23,N23-tumor
N22,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N22_B_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N22_B_2.fastq.gz,normal,1,ILLUMINA,D-N22,N22-normal
N22,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N22_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/Exome/D_fixed/N22_C_2.fastq.gz,tumor,1,ILLUMINA,D-N22,N22-tumor
